Date,provincia,Temp_Media,Precipitacion
2015-03-13,Murcia,13.6,0
2015-03-13,Navarra,7.4,9
2015-03-13,Ourense,9.1,0
2015-03-13,Palencia,6,0
2015-03-13,Pontevedra,10.3,0
2015-03-13,Salamanca,7.7,0
2015-03-13,Santa Cruz De Tenerife,15.8,0
2015-03-13,Segovia,5.4,0
2015-03-13,Sevilla,12.7,0
2015-03-13,Soria,5.6,0
2015-03-13,Sta. Cruz De Tenerife,14.7,0.1
2015-03-13,Tarragona,11.9,0
2015-03-13,Teruel,7.3,0
2015-03-13,Toledo,11.4,0
2015-03-13,Valencia,12.4,0.1
2015-03-13,Valladolid,7.8,0
2015-03-13,Zamora,9,0
2015-03-13,Zaragoza,9.4,0
2015-03-14,A Coruña,8,0.1
2015-03-14,Albacete,8.2,0
2015-03-14,Alicante,9.6,3.7
2015-03-14,Almeria,12.2,2.5
2015-03-14,Araba/Alava,3.1,8.8
2015-03-14,Asturias,5.5,4.1
2015-03-14,Avila,4.6,0
2015-03-14,Badajoz,11.4,0
2015-03-14,Baleares,9.3,16.6
2015-03-14,Barcelona,6.3,4.2
2015-03-14,Bizkaia,5.4,17.8
2015-03-14,Burgos,2.9,0.3
2015-03-14,Caceres,10.6,0
2015-03-14,Cadiz,13,0
2015-03-14,Cantabria,5.6,9.2
2015-03-14,Castellon,8.2,0
2015-03-14,Ceuta,14.8,0
2015-03-14,Ciudad Real,9.3,0
2015-03-14,Cordoba,11.1,0
2015-03-14,Cuenca,6.1,0
2015-03-14,Gipuzkoa,5.6,16.9
2015-03-14,Girona,6,3
2015-03-14,Granada,11.2,0.6
2015-03-14,Guadalajara,4.4,0
2015-03-14,Huelva,13.7,0
2015-03-14,Huesca,5.1,0.6
2015-03-14,Illes Balears,8.8,12.6
2015-03-14,Jaen,11.2,0
2015-03-14,La Rioja,4.2,0.3
2015-03-14,Las Palmas,15.5,0.1
2015-03-14,Leon,2.8,0.4
2015-03-14,Lleida,4.4,0.8
2015-03-14,Lugo,6,0.6
2015-03-14,Madrid,6.3,0
2015-03-14,Malaga,14,0.7
2015-03-14,Melilla,13.5,0
2015-03-14,Murcia,10.4,0.6
2015-03-14,Navarra,4.4,7
2015-03-14,Ourense,6.7,0
2015-03-14,Palencia,2.2,0
2015-03-14,Pontevedra,9,0
2015-03-14,Salamanca,4.6,0
2015-03-14,Santa Cruz De Tenerife,15.8,0
2015-03-14,Segovia,2,0
2015-03-14,Sevilla,13.1,0
2015-03-14,Soria,2.4,0
2015-03-14,Sta. Cruz De Tenerife,14.8,0
2015-03-14,Tarragona,8.9,1.5
2015-03-14,Teruel,3.8,0.1
2015-03-14,Toledo,8.5,0
2015-03-14,Valencia,10.5,0.9
2015-03-14,Valladolid,3.8,0
2015-03-14,Zamora,4.5,0
2015-03-14,Zaragoza,6.1,0.1
2015-03-15,A Coruña,7.7,0
2015-03-15,Albacete,5.6,0
2015-03-15,Alicante,9.1,2.9
2015-03-15,Almeria,11.2,0.2
2015-03-15,Araba/Alava,2.9,1.2
2015-03-15,Asturias,5.6,0.7
2015-03-15,Avila,2.4,0
2015-03-15,Badajoz,9.4,0
2015-03-15,Baleares,9.7,2.2
2015-03-15,Barcelona,6.4,1.4
2015-03-15,Bizkaia,4.9,1.9
2015-03-15,Burgos,1.3,0.5
2015-03-15,Caceres,8.4,0
2015-03-15,Cadiz,13.2,0.1
2015-03-15,Cantabria,5.2,1.9
2015-03-15,Castellon,6,0.1
2015-03-15,Ceuta,14.6,0
2015-03-15,Ciudad Real,7.3,0
2015-03-15,Cordoba,9.8,0
2015-03-15,Cuenca,2.5,0
2015-03-15,Gipuzkoa,5.6,3.3
2015-03-15,Girona,4.9,3.8
